"CE Implementados","","","","","","","","","","","",""
"N°","COD SABER","CODIGO","NOMBRE","PROVINCIA","CANTON","LATITUD","LONGITUD","CATALOGO","CANTIDAD DISPOSITIVOS","Fecha Implementación PBS","ESTATUS IMPLEMENTACIÓN","LÍNEA DE CONECTIVIDAD INICIAL"
"467","104813-00","351","AMÉRICA CENTRAL","SAN JOSE","GOICOECHEA","9.94804404","-84.05601839","CAT 4","0","9/5/2025","IMPLEMENTADO","17332611(10Mbps), 17751068(10Mbps)"
"468","102439-00","2275","COLONIA BOLAÑOS","GUANACASTE","LA CRUZ","10.97058592","-85.62154717","CAT 2","0","9/8/2025","IMPLEMENTADO","17300544(100 Mbps - FO)"
"469","101396-00","1212","ENRIQUE PINTO FERNÁNDEZ","ALAJUELA","ALAJUELA","9.96865581","-84.22334479","CAT 5","0","9/9/2025","IMPLEMENTADO","17307651(80 Mbps - FO)"
"470","102478-00","2315","SAN DIMAS","GUANACASTE","LA CRUZ","11.17776851","-85.60397973","CAT 2","0","9/10/2025","IMPLEMENTADO","17327261(100Mbps-FO)"
"471","100583-00","375","LA MINA","SAN JOSE","SANTA ANA","9..91630812","-84.19662684","CAT 3","0","9/10/2025","IMPLEMENTADO","17336901(15Mbps)"
"472","105067-00","6716","LICEO DE GUARARÍ","HEREDIA","HEREDIA","9.98733389","-84.11676554","CAT 3","0","9/10/2025","IMPLEMENTADO","17414634(4 Mbps - ADSL); 17893733(100 Mbps - FO)"
"473","100599-00","391","JUAN ÁLVAREZ AZOFEIFA","SAN JOSE","SANTA ANA","9.88886709","-84.17139597","CAT 2","0","9/11/2025","IMPLEMENTADO","17665182(200 Mbps - FO)"
"474","104923-00","6269","COLEGIO MATA DE PLÁTANO","SAN JOSE","GOICOECHEA","9.95368267","-8401464283","CAT 4","0","9/11/2025","IMPLEMENTADO","17345501(40 Mbps - FO)"
"475","103306-00","3186","COTO 44","PUNTARENAS","CORREDORES","8.577645","-82.96413298","CAT 1","0","9/12/2025","IMPLEMENTADO","17370782(25Mbps)"
"476","102362-00","2197","SAN FRANCISCO","HEREDIA","HEREDIA","9.99587589","-84.13133187","CAT 3","0","9/12/2025","IMPLEMENTADO","17754104(100 Mbps - FO)"
"477","103696-00","3601","CENTRAL DE GUAPILES","LIMON","POCOCI","1021587601","-8378798534","CAT 4","0","9/19/2025","IMPLEMENTADO","17306812(100 Mbps - FO)"
"478","103286-00","3166","SAN MIGUEL","PUNTARENAS","COTO BRUS","885791933","-8288256936","CAT 3","0","9/22/2025","IMPLEMENTADO","17328341(25 Mbps - FO);        22001294(6 Mbps - LTE)"
"479","102839-00","2693","TRONADORA","GUANACASTE","TILARAN","10.50004349","-84.92163238","CAT 3","0","9/23/2025","IMPLEMENTADO","17359901(100Mbps)"
"480","104095-00","4042","LICEO DE FLORENCIA","ALAJUELA","SAN CARLOS","10.36563444","-84.47139714","CAT 4","0","9/24/2025","IMPLEMENTADO","17342531(45 Mbps - FO)"
"481","102731-00","2580","SAN PEDRO","GUANACASTE","SANTA CRUZ","1027289225","-8567501533","CAT 2","0","9/26/2025","IMPLEMENTADO","17990850(100Mbps)"
"482","103313-00","3193","EL SÁNDALO","PUNTARENAS","GOLFITO","855873759","-8336379103","CAT 1","0","9/26/2025","IMPLEMENTADO","17351891(15Mbps)
22001198(6Mbps)"
"483","100635-00","430","J.N. ISMAEL COTO FERNANDEZ","SAN JOSE","ALAJUELITA","9,89260073","-84,10591176","CAT 3","0","9/29/2025","IMPLEMENTADO","17602020(100Mbps),  22540656(10Mbps)"
"484","102837-00","2691","JOSE MARIA CALDERON","GUANACASTE","TILARAN","1047126058","-8496771097","CAT 4","0","9/29/2025","IMPLEMENTADO","17394581(300Mbps)"
"485","102811-00","2663","SAN LUIS","GUANACASTE","CAÑAS","1041647425","-8508788133","CAT 2","0","9/30/2025","IMPLEMENTADO","17365981(10Mbps)"
"486","100681-00","478","SAUREZ","SAN JOSE","ASERRI","9,85275837","-84,09783101","CAT 2","0","9/30/2025","IMPLEMENTADO","17394581(300Mbps) "
"487","101554-00","1372","SABANILLA","ALAJUELA","VALVERDE VEGA","1012394255","-8434913033","CAT 2","0","10/1/2025","IMPLEMENTADO","17478483(100Mbps)"
"488","102972-00","2835","MOJONCITO","PUNTARENAS","ESPARZA","999095836","-8469846941","CAT 1","0","10/2/2025","IMPLEMENTADO","17391361(80Mbps)"
"489","102586-00","2430","ARTURO SOLANO MONGE","GUANACASTE","NICOYA","1013351636","-8542397463","CAT 2","0","10/2/2025","IMPLEMENTADO","17386231(10Mbps), 17704494(100Mbps), 22006503(6Mbps)"
"490","101351-00","1166","LA BALSA","ALAJUELA","ATENAS","994252997","-8437974666","CAT 2","0","10/3/2025","IMPLEMENTADO","17753926(100Mbps), 88026819(5Mbps)"
"491","103311-00","3191","SAN MARCOS","PUNTARENAS","OSA","903094878","-8358380477","CAT 2","0","10/3/2025","IMPLEMENTADO","17334691(100Mbps)"
"492","103542-00","3442","MANZANILLO","LIMON","TALAMANCA","963312973","-8265574748","CAT 2","0","10/6/2025","IMPLEMENTADO","17524030(200Mbps-ADSL)"
"493","100549-00","340","EL LLANO","SAN JOSE","ALAJUELITA","988540876","-8411455814","CAT 3","0","10/7/2025","IMPLEMENTADO","17648688(200Mbps-FO)"
"494","102862-00","2719","LOS LLANOS","PUNTARENAS","PUNTARENAS","1030484372","-848347562","CAT 2","0","10/10/2025","IMPLEMENTADO","17419255(200Mbps-FO), 17760366(200Mbps-FO)"
"495","102799-00","2650","JOAQUÍN ARROYO","GUANACASTE","ABANGARES","10.25401769","-85.05460031","CAT 2","0","10/10/2025","IMPLEMENTADO","17340326(100Mbps)"
"496","101316-00","1131","I.M.A.S.","ALAJUELA","ALAJUELA","10.01449602","-84.24668119","CAT 5","0","10/13/2025","IMPLEMENTADO","17676290(200Mbps-FO), 17676291(200Mbps-FO)"
"497","103273-00","3153","EL PROGRESO","PUNTARENAS","OSA","871551925","-8363238646","CAT 1","0","10/13/2025","IMPLEMENTADO","87265148(5Mbps-Móvil)
17341182 (100Mbps)"
"498","101925-00","1752","RESCATE DE UJARRÁS","CARTAGO","PARAÍSO","9.83938344","-83.87727988","CAT 5","0","10/14/2025","IMPLEMENTADO","17313551(100Mbps-FO)"
"499","104937-00","6358","C.T.P. VÁZQUEZ DE CORONADO","SAN JOSE","VASQUEZ DE CORONADO","9.97710243","-84.02076623","CAT 4","0","10/14/2025","IMPLEMENTADO","17300411(300Mbps)"
"500","104111-00","4060","COLEGIO SAN FRANCISCO","CARTAGO","CARTAGO","9.83535901","-83.91455524","CAT 4","0","10/20/2025","IMPLEMENTADO","17328091(60Mbps)"
"501","104149-00","4102","INSTITUTO DE GUANACASTE","GUANACASTE","LIBERIA","10.62058854","-85.45166855","CAT 5","0","10/21/2025","IMPLEMENTADO","17335631(100Mbps)"
"502","100991-00","801","SAGRADA FAMILIA","SAN JOSE","PÉREZ ZELEDÓN","9.36127918","-83.69564741","CAT 3","0","10/21/2025","IMPLEMENTADO","17422121(200Mbps)
17422139(200Mbps)
17752926(200Mbps)
17617876(200Mbps)"
"503","102915-00","2774","MAL PAÍS","PUNTARENAS","PUNTARENAS","9.60003652","-8514129346","CAT 2","0","10/22/2025","IMPLEMENTADO","17763002(100Mbps)"
"504","104133-00","4085","LICEO ING. MANUEL BENAVIDES RODRÍGUEZ","HEREDIA","HEREDIA","9.99176571","-84.12492281","CAT 5","0","10/22/2025","IMPLEMENTADO","17307141(100Mbps)"
"505","101077-00","887","COCORÍ","SAN JOSE","PÉREZ ZELEDÓN","9.35674613","-83.70592054","CAT 3","0","10/23/2025","IMPLEMENTADO","17763575(300Mbps)"
"506","104143-00","4096","COLEGIO FELIPE PÉREZ PÉREZ","GUANACASTE","LIBERIA","10.6345553","-85.42701902","CAT 3","0","10/23/2025","IMPLEMENTADO","17335671(300Mbps)"
"507","102373-00","2208","JOAQUÍN CAMACHO ULATE","HEREDIA","BARVA","10.02844944","-84.13803251","CAT 3","0","10/24/2025","IMPLEMENTADO","17307172(35Mbps)"
"508","100673-00","470","RINCÓN GRANDE","SAN JOSE","SAN JOSE","9.9557689","-84.15360386","CAT 5","0","10/24/2025","IMPLEMENTADO","17303801(100Mbps)"
"509","104132-00","4084","LICEO DE SANTA BÁRBARA","HEREDIA","SANTA BÁRBARA","10.04194488","-84.15932635","CAT 5","0","10/24/2025","IMPLEMENTADO","17340311(200Mbps)"
"510","102823-00","2676","SAN ANTONIO","GUANACASTE","CAÑAS","104008596","-8508087505","CAT 2","0","10/27/2025","IMPLEMENTADO","17300541(100Mbps)"
"511","100533-00","324","SAN RAFAEL","SAN JOSE","SANTA ANA","9.9252792","-8417727623","CAT 3","0","10/27/2025","IMPLEMENTADO","17300208(15Mbps)"
"512","101571-00","1389","BARRIO LOS ÁNGELES","ALAJUELA","SAN CARLOS","10.35569491","-84.439981","CAT 3","0","10/27/2025","IMPLEMENTADO","17480183(300Mbps-FO)"
